gahũũn,n.        nu gahũũn n.,,,,
gaj'aak,v.         ni: gajaag.[LE12],ni: gajaag,,,
gajareet,v.         ni: gajar'eed.       gajareet doo n.,ni: gajar'eed,,,
gajarong,v.         ni: gajaroo/h.,ni: gajaroo/h,,,
gajaroh,n op.,,,,
gajatsëk,adj.        ty getsëk v.,,,,
gajeenh,v.         ni: gaj'eej.        est;hab: gajénh.,ni: gaj'eej,est;hab: gajénh,,
gajehos,v.         ni: gajehots.         p: gajeh'oos.,ni: gajehots,p: gajeh'oos,,
gajej'eenh,v.         ni: gajejéj.,ni: gajejéj,,,
gajewäng,v.         ni: gajewëë.,ni: gajewëë,,,
gajook,v.         ni: gajog.,ni: gajog,,,
gajyp,v.         ni: gajyb.       moo gajyp v.,ni: gajyb,,,
gakaanh,v.,,,,
gak'aanh,v.         ni: gakaaj.,ni: gakaaj,,,
gakãã,v.         ni: gak'ãã.,ni: gak'ãã,,,
gakog hõm,v.,,,,
gakyyt,v.         ni: gakyd.         p: gekyyt.,ni: gakyd,p: gekyyt,,
gamä,n.,,,,
gamag,n. esp.,,,,
gamagaam,v.,,,,
gamakuj n'aa,n op.,,,,
gamaruk,v.         ni: gamarug.,ni: gamarug,,,
gamasé,v.         ni: gamasee.,ni: gamasee,,,
gamatsahoo,v.         ni: gamatsah'oo.         p: gamatsehó.,ni: gamatsah'oo,p: gamatsehó,,
gamatsih,n.,,,,
gamauk,v.         ni: gamaug.         p: gameuk.,ni: gamaug,p: gameuk,,
gamuun,v.         hab: gahemon.,hab: gahemon,,,
gamyyj,n.        ty gamyyj n.,,,,
ganabëëh,v.         ni_p: ganebäh.       nu ganabëëh v.        wog ganabëëh v.,ni_p: ganebäh,,,
ganabuuh,v.         ni: ganabuh.         p: ganebuuh.         ni_p: ganebuh.[LE13],ni: ganabuh,p: ganebuuh,ni_p: ganebuh,
ganapok,v.         ni: ganapóg.         p: ganepok.,ni: ganapóg,p: ganepok,,
ganawääh,v.,,,,
ganebäh hõm/bëëh/bong,v_p.         i: ganebëëh.,i: ganebëëh,,,
ganebëëh,v.,,,,
ganehem,v.         ni: ganehew.,ni: ganehew,,,
ganes'aa,n.        nu ganes'aa v.         ni: nu ganesaa.,ni: nu ganesaa,,,
ganewän,v.,,,,
ganyyh,v.         ni: ganäh.         caus: gan'yyh.,ni: ganäh,caus: gan'yyh,,
gapahõ,v.,,,,
gapasé,v.         ni: gapasee.,ni: gapasee,,,
gapis,v.         ni: gapits.,ni: gapits,,,
gapoom,v.         ni: gapoow.         est;hab: gapom.,ni: gapoow,est;hab: gapom,,
gapuk,"v. 	ni: gapug.",ni: gapug,,,
garaet,v.         ni: garaed.,ni: garaed,,,
garagaar,n.,,,,
garagoor,n.,,,,
garagoor gadatés,n.,,,,
garagoor papũũk,v.         ni: garagoor pap'ũũg.,ni: garagoor pap'ũũg,,,
garama,n. esp.,,,,
garama [LE14],n. esp.,,,,
garareeh yb,n.,,,,
gararem,v.         ni: garareew.,ni: garareew,,,
garaweet,v.         ni: garawéd.,ni: garawéd,,,
gareen,v.,,,,
garehé,v.         ni: garehee.,ni: garehee,,,
