sense_id,pos,gloss,def,reverse,note
4d203bd3-3f0f-4b32-ab99-b512db4caacf,Noun,"{'en': 'spear', 'pt': 'lança'}","{'en': 'spear', 'pt': 'lança'}",,
7644a77e-3284-4770-98db-81984eed5c1c,n,"{'en': 'tree', 'pt': 'árvore'}","{'en': 'tree', 'pt': 'árvore'}","[('tree', 'en'), ('árvore', 'pt')]",
b616e164-3b19-4c85-a5f5-471cc1bcf48b,Noun,{'en': 'guariba'},,,
b73b7515-b3b9-455f-a50e-ae902d5e2a13,Noun,{'en': 'arraia'},,,
1f46caf8-3abc-4a6b-beb5-5554c6fd7c05,Verb,"{'en': 'fish.w.line', 'pt': 'pescar.cm.linha'}","{'en': 'fish (with line)', 'pt': 'pescar (com linha)'}",,
9bbd029f-a261-402b-95d1-b62467c5f90d,v,"{'en': 'exist', 'pt': 'existir'}","{'en': 'exist', 'pt': 'existir'}",,
35a53b96-a2d0-4e99-b500-b16d8f174a1b,Noun,{'en': 'solo'},,,
a4aea16f-64e1-4bdc-8411-ad2ed5a6900c,v,{'pt': 'bater.vento'},{'pt': 'bater vento; acenar com a mão'},,
113550bd-0759-4e15-b2a5-049956cbc1b5,,"{'en': 'sick', 'pt': 'doente'}","{'en': 'sick', 'pt': 'doente'}",,
31005f5c-fc42-4d7e-bfc2-ce2205c6c02a,Noun,{'en': 'grandmother'},,,
ba0f6a91-81d7-49e3-be04-7eeb0297efb0,n,{'pt': 'cipó.sp'},{'pt': 'esp. de cipó'},,
ee28e349-2c82-4d8c-964e-f023c132303d,Noun,"{'en': 'armpit', 'pt': 'axila'}","{'en': 'armpit', 'pt': 'axila'}",,
9b56016f-db2a-4a00-bf9e-6b98f74cc95b,Noun,"{'en': 'sauva', 'pt': 'saúva'}","{'en': 'sauva', 'pt': 'saúva'}",,
bcee88ee-f31a-46c1-915d-8bcaede552b7,Noun,{'en': 'mosquito'},,,
44dd6e4d-adc5-406d-9014-f21b3fff5bbd,v,{'pt': 'deixar'},{'pt': 'deixar'},,
ba35b885-67b8-42fc-9792-c3e8ff5f2f1e,Noun,"{'en': 'chicha', 'pt': 'caxiri'}","{'en': 'chicha (manioc beer)', 'pt': 'caxiri; chicha de mandioca'}",,
b6bb5c0e-0f82-44d6-94fe-a7c2d106d127,?,{'pt': '?'},,,
b71f8e84-f4a4-49b2-8f8b-e4e22f4e5fc6,n,{'pt': 'lambe.olhos'},{'pt': 'esp. de inseto (lambe-olhos)'},,
8054291c-6943-4437-8a8c-1bc5c59d0fb4,Noun,"{'en': 'feather.headdress', 'pt': 'cangatara'}","{'en': 'feather headdress', 'pt': 'enfeite de penas; cangatara'}",,
3fa066c6-2cc5-4ef0-821a-7b7cebd84252,n,{'pt': 'chifre'},{'pt': 'chifre'},,
5877717c-b38c-4b01-a40f-bf7b85770b22,Noun,"{'en': 'beans', 'pt': 'feijão'}","{'en': 'beans', 'pt': 'feijão'}","[('feijão', 'pt'), ('beans', 'en')]",
