headword,ipa,entry_id,matches
hɯ̰̃ːb,hɨ̰̃:b,hɯ̰̃ːb_13495014-5582-4f05-84fc-3cb0ed8b0ed2,"[('hʹỹỹb', 'hʹỹỹb_619d57b3-8d4b-4700-b236-f85239dd9576', 0.9166666666666666), ('hɯ̰ːb', 'hɯ̰ːb_030b2a7d-4650-45f3-a4e4-5c6c0edeb33e', 0.9545454545454546), ('h’ëëb', 'h’ëëb_2d2a4415-053e-4b4e-bf26-6a3fb35e5a49', 0.8636363636363636)]"
wawët,wawət,wawët_135af2d2-bd6b-445c-a1ed-837cb137c40d,"[('wʉ́t', 'wʉ́t2_92514816-5d4f-4e07-960c-a341b4e35ba3', 0.8571428571428571), ('wət', 'wət2_3d9e8a40-28bc-4880-9dc1-525d808cd0da', 1.0)]"
ʃeʔ,ʃe,ʃeʔ_136f03ea-0223-4179-830f-577d41fa039e,"[('se', 'se_44710235-cb36-41d3-88f8-7a88edc7df2b', 1.0)]"
ëër,ə:r,ëër_139ca9bb-450f-4124-8497-3fa5f304fa62,[]
jɯh,jɨh,jɯh_139d6300-9038-4939-9dd2-9b3662f07315,[]
tɨɨp,tɨ:p,tɨɨp_13f20b79-cfed-486c-8791-fb295eb27377,"[('tɨɨ', 'tɨɨ_e4e003b3-b87d-4e64-853a-137ee8f53b2f', 0.8571428571428571)]"
tabës,tabəʃ,tabës_14ced729-1b9a-4a85-9ea0-4b582781a60b,[]
masunh,maʃuɲ,masunh_14d0d8b0-c476-4d60-8b21-5b7bbad5a0d6,[]
masug,maʃug,masug_14f4dbd3-bbac-4f9e-b5f5-3da0f0b5daa1,"[('ɟug', 'ɟug_96302045-3340-4193-98f5-4d19048d0d48', 0.8571428571428571)]"
tamaboh,tamaboh,tamaboh_15731cab-2b16-4be8-829d-ec886877724d,"[('mabooh', 'mabooh_d4cd0f8d-7eb6-444d-988a-892e659baad6', 0.9545454545454546), ('boːh', 'boːh_6a7b644a-7672-4290-94f5-4f812ad24772', 0.9285714285714286)]"
kaɾaʃɨd,karaʃɨd,kaɾaʃɨd_1586f3ed-3480-4767-8d98-e5fd9e2ae9a7,"[('karas tyd', 'karas tyd_08f16d6a-c83c-4cc3-abaf-29b1849cf982', 0.875)]"
pʹooj ub,po̰:j ub,pʹooj ub_15ba43d2-22e3-4dab-b985-542fdf887812,"[('pxóóyub', 'pxóóyub_b3363668-3ab6-466f-af47-ad43777e43e2', 0.8666666666666667)]"
harum,harum,harum_15ce4d3f-c20c-4b98-ac5e-19c13eada4af,"[('haɾum', 'haɾum_89301e28-b653-49bf-bcdd-fac7eb6414e6', 1.0), ('haɾũm', 'haɾũm2_e7c19295-e5b4-4fbe-afa0-407f81dde475', 0.9545454545454546)]"
