entry_id,status,matches
ah&apos;ũũm_7101b90d-ca9a-4580-9d2a-d92b4ebe63d7,,"{'ahũũm_c1aba4f1-8144-4560-a16e-b9f106f47381': ('ahũũm', 0.9615384615384616), 'tahũ:m_480edbaa-0ba8-4eae-968e71ba5dbe2439': ('tahũ:m', 0.8928571428571429), 'ahṵ̃:m_7101b90d-ca9a-4580-9d2ad92b4ebe63d8': ('ahṵ̃:m', 1.0)}"
waw&apos;oos_713c2e49-683d-4b4c-b21a-cb6fbd07c005,,"{'wawo̰:ʃ_713c2e49-683d-4b4c-b21acb6fbd07c006': ('wawo̰:ʃ', 1.0)}"
doo6_71c71e5c-3cfb-4726-91ff-2548014eb29d,,"{'dooh1_3ce71fc8-bcb6-49e2-aecf-4bba9da31ed4': ('dooh', 0.9285714285714286), 'doːh2_f09ac595-bfa8-49ef-8682-d9715ae4591b': ('doːh', 0.9285714285714286), 'do_fd9bc761-cadc-4cb2-8af8-d271ab95e039': ('do', 0.9), 'adoo _ffb10994-9087-43c5-a1e5-3f3380e7547a': ('adoo', 0.8571428571428571), 'do:_53082cdc-d65b-4949-94043a47fd80f8b6': ('do:', 1.0), 'do:_8f96a134-db02-4580-a0d5599f0a181e2': ('do:', 1.0), 'do:_96f3879f-cf4c-469d-ac464a89f9d8374e': ('do:', 1.0), 'do:_b37dc192-f0fc-4fc4-acf9e4423cdd81e2': ('do:', 1.0)}"
ub_73c90a3f-cfeb-471d-ae53-3c6573e4e5ec,,"{'ub_b2935fa1-6836-45aa-91fb-4b6f277f70dc': ('ub', 1.0)}"
nuu k’ëë_740bd66c-bce6-41f0-b0db-badc43e94128,,"{'nu k’ëë_740bd66c-bce6-41f0-b0db-badc43e94128': ('nu k’ëë', 0.9666666666666667)}"
noo ken&apos;aak_7c184abd-1399-4ba0-b334-0a56f7ead37c,,"{'no: kena̰:k_7c184abd-1399-4ba0-b334a56f7ead37d': ('no: kena̰:k', 1.0)}"
watoor_7c591ae2-72c2-4bc3-8498-908678de5333,,"{'watu:r_6c6d6af3-914f-4223-af5b893f529f5157': ('watu:r', 0.9166666666666666)}"
maj’ëeh_7d9b566b-8897-43aa-aa2c-44c3136b2409,,"{'maj’ëe_7d9b566b-8897-43aa-aa2c-44c3136b2409': ('maj’ëe', 0.9615384615384616)}"
betaah_7de9cdb6-21a2-4589-b03b-bcb220a50f31,,"{'bet’ëëh_ca922974-ef94-4898-9d91-2105dc5d6641': ('bet’ëëh', 0.8846153846153846)}"
t&apos;ëëng_7fad6677-006f-46f7-991e-8fd6199e5d12,,"{'t’ëëng_7fad6677-006f-46f7-991e-8fd6199e5d12': ('t’ëëng', 1.0)}"
sog_80913b3d-28ba-4da4-8c82-93874db73850,,"{'esog_0ff17dda-0edb-4fab-8d80-c392c7dffd46': ('esog', 0.8571428571428571), 'soog_249fa31d-fe1c-46ef-a586-8da434b2d806': ('soog', 0.9285714285714286), 'asog_87882610-dbd6-4886-8420-10e5264fbfd6': ('asog', 0.8571428571428571)}"
er&apos;oot_81505d8b-502c-4d66-9426-705065ef703a,,"{'her’oot_fcd85a56-cfb3-4e88-b636-3a81739ffd26': ('her’oot', 0.9230769230769231), 'hero̰:t_d42677cf-1d23-49c3-b1ed1d7c4b59b99d': ('hero̰:t', 0.9230769230769231)}"
maɾakaaw_81a4f1d6-0f63-4473-8154-e6377deca3a7,,"{'maraka(:)w_81a4f1d6-0f63-4473-8154e6377deca3a8': ('maraka(:)w', 0.8888888888888888)}"
wabëëh_824e379b-cebb-40ff-b394-d82d94ca0ba4,,"{'abëëh_6e59c75d-2c2e-434c-b175-579c2363b6c5': ('abëëh', 0.9090909090909091), 'abə̰:h_61005ddd-f254-40c6-b2cd2f1a0e5ce7b5': ('abə̰:h', 0.875)}"
p’ooh_8351b529-6dec-4374-bbcc-30b2cb59847d,,"{'p’ooh1_8351b529-6dec-4374-bbcc-30b2cb59847d': ('p’ooh', 1.0), 'pooh_bdd27c96-ea96-4676-845e-c97461c4e435': ('pooh', 0.9444444444444444), 'po̰:h_0978090e-f818-4a26-b58cf420dbef4260': ('po̰:h', 1.0), 'po̰:_1a344c25-1fe2-4d38-87cea679b8b74d31': ('po̰:', 0.9444444444444444), 'pṵ:h_f3f47438-a4db-4f2e-96e195798984f94': ('pṵ:h', 0.9)}"
akajaa_83922ee0-946f-468f-b13d-bdba82d957ba,,"{'kaja:_83922ee0-946f-468f-b13dbdba82d957bb': ('kaja:', 0.9090909090909091)}"
noo1_85e5d65c-81a9-43ba-8b05-e1d0cb3a0943,,"{'no_46a5426d-16d2-4497-8aa0-73500cd7308c': ('no', 0.9), 'nooh_85e5d65c-81a9-43ba-8b05-e1d0cb3a0943': ('nooh', 0.9285714285714286), 'no̰:_4b7dce3a-006c-458c-ba0cbb5e1c53defe': ('no̰:', 0.9285714285714286)}"
p&apos;ëëts hẽ_861f321d-8e0a-420b-ade0-944ee4181915,,"{'p’eets hẽ_861f321d-8e0a-420b-ade0-944ee4181915': ('p’eets hẽ', 0.8888888888888888)}"
bä3_87d8763d-27a3-470d-afd7-f76bd5d3b8be,,"{'bʌ_8df25412-204a-46bc-a7873ef67101e1ce': ('bʌ', 1.0), 'bʌ_d715fe9e-35d6-4cb9-b7ddca28a1e3c7a5': ('bʌ', 1.0)}"
man&apos;uuts_898ee1a2-ed1e-4b76-ae8d-ab5b1600b6d1,,"{'manṵ̃c_2c48a8a4-7fdd-4fe9-96f7ace262c92281': ('manṵ̃c', 0.9285714285714286)}"
na5_8c6bfa36-bf9c-4543-9d2d-eaf58ae1d718,,"{'na_0126d0ce-96ed-408a-bd2866f3a4628410': ('na', 1.0), 'na_2df851cc-b722-41ba-aac8b28779debd8d': ('na', 1.0), 'na_502c638d-8616-4812-b9667966da16815c': ('na', 1.0), 'na_fa915d92-ea88-4f0a-9cedef2f7a30fe8e': ('na', 1.0)}"
sareej_8e9915c4-691e-4a64-a726-6e20a0b8d7ac,,"{'ʃare:j_3b28e452-5d26-4a88-94a5a228bff09db2': ('ʃare:j', 1.0)}"
sahõnh2_8e9ff548-76b1-4d49-8674-cc210d0c6f6f,,"{'ʃahõɲ_a1ab4219-36f5-430c-a60658f9e05fbf5e': ('ʃahõɲ', 1.0)}"
he_913ba599-ab12-4f7d-a7ff-a7608634f834,,"{'hẽ_081a7a8a-0158-4d80-abaed16c5ebdcef8': ('hẽ', 0.9), 'hẽ_3bf2f3c2-3b71-4c02-9a24b506631eabbc': ('hẽ', 0.9)}"
bëëh_962a8de8-7f65-4e60-b8a4-c16d27943a32,,"{'baah_1bbf905d-bed6-4e38-82d9-a99ca6472ddc': ('baah', 0.875), 'bëëh2_59d8bf5a-dd20-44e8-b7a9-5081bab044ae': ('bëëh', 1.0), 'abëëh_6e59c75d-2c2e-434c-b175-579c2363b6c5': ('abëëh', 0.8888888888888888), 'byyh_c6283908-ed9f-4529-ab22-f0a452ed88b6': ('byyh', 0.875), 'ba:h_596a8d5b-6bfc-4eab-af6a25899b14ff13': ('ba:h', 0.875), 'bə:h_962a8de8-7f65-4e60-b8a4c16d27943a33': ('bə:h', 1.0)}"
tëëng1_973a6d9c-adec-4a58-98e0-2ac2c9961a59,,"{'t’ëëng_7fad6677-006f-46f7-991e-8fd6199e5d12': ('t’ëëng', 0.9444444444444444), 'tëëg_b227568f-8dc2-4857-96ad-54678f3975b5': ('tëëg', 0.875), 'tɨ:ŋ_e2b5fecf-076d-455e-afca70e5369e1d23': ('tɨ:ŋ', 0.875)}"
