entry_id,bibliography,date,date_modified,headword,morph_type,note,other_sources,pronunciation,sense,these_vars,variant_of
sét hẽ_04d14da4-0773-43e5-be7b-25fe3fe7100c,Fieldnotes Epps/Obert; 2018,2018-07-07T17:53:45Z,,sét hẽ,phrase,{},,ʃɛt hẽʔ,['b76b93ca-1032-4a40-9a95-1031ce3ca8d9'],,"{'null': {'type': '_component-lexeme', 'complex-form-type': 'Unspecified Complex Form'}}"
kasarõ_04f383e2-28e7-4ca8-8903-46ecb268dcec,SIL Dict 2011,2018-03-08T07:17:53Z,,kasarõ,stem,{},,kaʃaɾõ,,,"{'32a368a7-d87b-441c-bc01-f27a308a8b1a': {'type': '_component-lexeme', 'variant-type': 'Não indicativo'}}"
mahõg_05dd3abd-6534-4b59-b015-78d391e1d399,SIL Dict 2011,2018-03-08T07:17:53Z,,mahõg,stem,{},,mahõg,,,"{'449e256e-85a4-465c-bcf3-571d63f37366': {'type': '_component-lexeme', 'variant-type': 'Não indicativo'}}"
madiːk1_060565fa-0504-425e-9477-40abe427e5e6,Barbosa,2018-06-20T05:09:53Z,,madiːk,stem,,,,,,"{'27196443-08b4-4e3b-82e9-14987c24f524': {'type': '_component-lexeme', 'variant-type': 'Spelling Variant', 'summary': 'Barbosa 2005; açaí'}}"
karapee _0608a430-217f-4595-8307-b236eef0ae5b,Fieldnotes Epps/Obert; 2018,2018-03-08T07:17:53Z,,karapee,stem,{},"{'Weir': 'kalapéé', 'SIL Dict 2011': 'karapee'}",kaɾaˈpe:ʔ,['ec6b2a91-b8ab-44f3-8200-648010fa9137'],"{'karepé_7c800678-ce5e-401e-abba-a2b95fbbf65c': {'type': '_component-lexeme', 'variant-type': 'Plural'}}",{}
ehãw_0631abaa-832b-4f9c-a680-67323f0bec57,SIL Dict 2011,2018-03-08T07:17:53Z,,ehãw,stem,{},,ehãw,,,"{'524de672-cfcd-498f-ad8a-ff63f63e40a6': {'type': '_component-lexeme', 'variant-type': 'Não indicativo'}}"
baad_068ae71c-c922-438c-9569-dad5b2122f74,Fieldnotes Epps/Obert; 2018,2018-03-08T07:17:53Z,,baad,stem,{},,ba:d˺,['783a338a-818d-4a66-9784-aae54e3af35a'],,{}
taats_06fa1be1-fd07-4e5b-8efb-4684de883e8e,Fieldnotes Epps/Obert; 2018,2019-01-14T03:46:55Z,,taats,stem,,,ta:ɟ̚,['0bcbba71-1078-42e3-b6dc-dc251e2d8e8e'],,{}
asʹëëg_071fd2b5-c8ec-405b-a840-71a0419d0870,SIL Dict 2011,2018-03-08T07:17:53Z,,asʹëëg,stem,{},,aʃə̰:g,,,"{'1681b58c-d028-4b6c-af21-833f4abef2ce': {'type': '_component-lexeme', 'variant-type': 'Não indicativo'}}"
kakoos yb_07832269-7792-4503-a931-31d64643cc9a,Fieldnotes Epps/Obert; 2018,2019-01-14T03:46:55Z,,kakoos yb,phrase,,,kako:ʃ ʔɨb̚,['4b406dde-abeb-45c4-be61-d326a330ea83'],,{}
gewʹõõw_07c262a4-e950-44ab-ba8d-5b209013a2ee,SIL Dict 2011,2018-03-27T02:37:10Z,,gewʹõõw,stem,{},,gewõ̰:w,,,"{'gewõõm_2e184b1f-4cc5-4e46-ae1e-f9ec715f3722': {'type': '_component-lexeme', 'variant-type': 'Não indicativo'}}"
pewóp hẽ_083be29b-071a-45ec-bd6b-c4935e1ae87b,Fieldnotes Epps/ Obert; 2018,2018-07-08T18:25:37Z,,pewóp hẽ,phrase,{},,peʔˈwɔp˺,['7fbd2f47-c78c-4fd7-9aa5-89ad13550e63'],,{}
kawad puuw (tëëg)_083ca43d-56d8-4a51-98c4-4109ef14938b,Fieldnotes Epps/Obert; 2018,2019-01-14T03:46:55Z,,kawad puuw (tëëg),phrase,,,kawad̚ pu:w  tə:g̚,['c72b8439-5d2b-4279-bda9-8034d3430c1b'],,{}
dakä_088d21b3-b72e-422c-baab-2a35b7838500,SIL Dict 2011,2018-03-08T07:17:52Z,,dakä,stem,{},,dakʌ,,,"{'339a2390-193b-4e46-b7d9-76429e5bf07d': {'type': '_component-lexeme', 'variant-type': 'Não indicativo'}}"
häd_090789e5-38eb-49f0-9832-3449ab6f71a9,Fieldnotes Epps/Obert; 2018,2018-07-07T17:36:29Z,,häd,stem,{},,hʌd˺,['28976492-decb-410a-aac6-75cd5b7073ae'],,{}
gor’ëëj_09bf004c-752a-4c01-9273-5fad683b954e,Fieldnotes Epps/Obert; 2018,2018-07-27T20:22:56Z,,gor’ëëj,stem,{},,,['71701844-6504-4d95-853e-158eb0eb8caa'],,{}
