\lx,\ge,\ps,\bb,\ph,\va,\vc,,
sóóm,shout.with.blowgun,v,Weir 1986,ʃɔːm,,,,
sus,be.dirty,v,Weir 1994,ʃuʃ,,,,
ʃʌ̃k,tamatá,n,,,,,,
ʃʌʃ,aracu,n,,,,,,
taba̰ːh,madeira,n,,,,,,
tabɔd,metade,n,,,,,,
tahɨ̰̃b,peixe,n,,,,,,
tahoːh,seu fígado,n op?,,,,,,
tahoh,cortar cabelo,v,,,,,,
tajãn,filho dela,n,,,,,,
takɤ̰p,forte,?,,,,,,
tamaːh,sem,post?,,,,,,
tamɛːʔ,no rio,adv?,,,,,,
tatãw̃na̰ːʔ,caibro,n,,,,,,
tatiʔ,aquele,pro?,,,,,,
tatɨʔ,este,n?,,,,,,
tatuɟ,espécie de formiga,n,,,,,,
taʔɨ̃ːm,esposa dele,n,,,,,,
tɔ̰̃ːm,cesto,n,,,,,,
tɔ̰̃ːp,no fundo (do rio),n,,,,,,
tɔ̰̃p,no fundo,adv?,,,tɔ̰̃ːp,"Barbosa 2005, no fundo (do rio)",,
tés,hurt,v,Weir 1990,tɛʃ,,,,
tɨːŋ,assoalho,n,,,,,,
tɨːw,caminho,n,,,,,,
tɨɨ,fish,v,Weir 1990,tɨːʔ,,,,
tɨɨp,lay.egg,v,Weir 1990,tɨːp,,,,
tɨng,support,n,Weir 1990,tɨŋ,,,,
tɯ̰ːŋ,anta,n,,,,,,
toːh,quiexada,n,,,,,,
toːɲ,estar sentado (pl to̰ːɲ),v,,,,,,
tón,hold.in.hand,v,Weir 1994,tɔn,,,,
tóóh,wild.pig,n,Weir 1994,tɔːh,,,,
tʉ́,food,n,Weir 1990,tʌʔ,,,,
tũːʔ,solo,n,,,,,,
tuɟ,espécie de formiga,n,,,,,,
tuʔ,esteio,n,,,,,,
tuʔ,toco,n,,,,,,
tʌːh,bem assado,?,,,,,,
tʌ̰ːh,tapuru,n,,,,,,
txõom,panacu,n,Weir 1994,tõ̰ːm,tɔ̰̃ːm,"Martins 2005, cesto",,
ʉʉn,mother,n,"Weir 1990, Weir 1994",ʔəːn,,,,
wã̰ːj,coroca,n,,,,,,
wahɤ̰ːh,velho (pl wahɤh),?,,,,,,
waɟɨb,maruim,n,,,,,,
wapad,espécie de peixe,n,,,,,,
wapiːt,maracajá,n,,,,,,
watoːɾ,macaco bicó,n,,,,,,
watuːɾ,macaco.sp,n,,,,,,
