entry_id,headword,morph_type,pronunciation,variant_of,these_vars,note,sense,date,date_modified
eëëk_a6772535-05f5-4859-8007-ff6a89c86664,eëëk,stem,ʔeʔˈǝ:k,,"{'???_d3c6d09d-f4c9-435c-be6d-c6c54025171b': {'type': '_component-lexeme', 'variant-type': 'Unspecified Variant'}}","{'bibliography': 'SIL 2011; Fieldnotes Epps/Obert; 2018', 'Note': 'problem: ʔeʔˈǝ:k or ʔeʔˈɨ:k'}",['b6b2eacc-3cd5-4627-aa03-efc2d1cb0ae0'],2018-03-08T07:17:53Z,2018-07-10T00:15:33Z
ëën_fe7eb662-ab08-4960-beed-46e3474784d5,ëën,root,ǝ:n,,,{'bibliography': 'Epps/Obert; Fieldnotes 2019'},['591fb13a-38b0-4cce-b5cf-4b74aa321d3b'],2020-01-08T19:25:42Z,2020-01-08T19:26:50Z
egʹaak_e8a55d4c-33f7-4c02-9f26-544a6ffd5243,egʹaak,stem,ega̰:k,,,{'bibliography': 'SIL 2011'},['800c7fc9-2b48-4677-a088-e7c1e7cbc3a2'],2018-03-08T07:17:53Z,2018-06-20T01:46:10Z
egʹook_5ec7aac4-cca0-47a4-a577-0600f5e9d0f2,egʹook,stem,ego̰:k,,,{'bibliography': 'SIL 2011'},['060fcd69-4092-44c0-921c-ad969353f142'],2018-03-08T07:17:53Z,2018-06-20T01:46:10Z
egaag_ef05545d-dce0-494b-9a22-3d3474a9c500,egaag,stem,ega:g,"{'800c7fc9-2b48-4677-a088-e7c1e7cbc3a2': {'type': '_component-lexeme', 'variant-type': 'Não indicativo'}}",,{'bibliography': 'SIL 2011'},,2018-03-08T07:17:53Z,2018-06-20T01:46:10Z
egëëm_445eebc6-c3cd-4449-aa4a-78db684115fd,egëëm,stem,,"{'agëëm_25a0d00f-c8c7-4836-8947-123a3ffb510a': {'type': '_component-lexeme', 'variant-type': 'Unspecified Variant'}}",,,,2019-11-05T16:07:35Z,2019-11-05T16:07:35Z
egës_61488996-6900-4ab7-8a68-cd73cc594136,egës,stem,ʔeˈk’ǝʃ,,,{'bibliography': 'Fieldnotes Epps/Obert; 2018'},['bffe5448-964f-41ec-bb99-4026e208b2a5'],2018-07-08T18:31:40Z,2018-07-08T18:33:14Z
eh_bafaa222-1b97-400f-970f-c2db6aa620ac,eh,stem,,"{'aeh_3d0b7e07-8f49-48f7-afb4-c7e4cf0c3802': {'type': '_component-lexeme', 'variant-type': 'Unspecified Variant'}}",,,,2019-11-05T19:43:50Z,2019-11-05T19:43:50Z
eh (v. eeh)_f34fc58d-6e5c-4fe8-9604-2572208081d8,eh (v. eeh),phrase,ʔeh (pl ʔeːh),,,{'bibliography': 'Weir 1990'},['5eb8548a-8774-4e1b-9077-b42afb34f6b8'],2018-06-20T05:09:54Z,2018-06-20T05:17:30Z
ehʹããm_bbd4f12e-b495-4a13-93ac-e28286042fcd,ehʹããm,stem,ehã̰:m,"{'524de672-cfcd-498f-ad8a-ff63f63e40a6': {'type': '_component-lexeme', 'variant-type': 'Causativo'}}",,{'bibliography': 'SIL 2011'},,2018-03-08T07:17:53Z,2018-06-20T01:46:10Z
ehab_e92f47c7-413d-4a3d-8c1f-019ff0dd12ed,ehab,root,e'hab,,,{'bibliography': 'Epps/Obert; Fieldnotes 2019'},"['a3773761-2f82-4d58-812a-d077513d12d4', '1f4f4169-904b-4a7f-ac50-b7a6b83b5a44']",2019-12-21T00:57:24Z,2019-12-21T00:58:42Z
ehãm_b8594aa4-2eff-46d6-be59-412a2bc8c629,ehãm,stem,ʔeˈhãm,,,{'bibliography': 'SIL 2011; Fieldnotes Epps/Obert; 2018'},['524de672-cfcd-498f-ad8a-ff63f63e40a6'],2018-03-08T07:17:53Z,2018-07-07T20:43:47Z
ehãw_0631abaa-832b-4f9c-a680-67323f0bec57,ehãw,stem,ehãw,"{'524de672-cfcd-498f-ad8a-ff63f63e40a6': {'type': '_component-lexeme', 'variant-type': 'Não indicativo'}}",,{'bibliography': 'SIL 2011'},,2018-03-08T07:17:53Z,2018-06-20T01:46:10Z
ehëën_6c137c3e-c6ba-42fc-8e6c-d92b4e367289,ehëën,stem,ʔeˈhǝ:dn,,,{'bibliography': 'Fieldnotes Epps/Obert; 2018'},['aa41c4ae-2f91-4f5f-8ac5-8e5a43ad4bcc'],2018-07-10T23:37:54Z,2018-07-10T23:38:30Z
ehë̃p_df3af308-6431-4a3e-aea7-e9264917d791,ehë̃p,stem,ʔehə̃p̚,,,,['4778e212-2f81-4496-b99d-294b71d6a3fa'],2019-01-14T03:46:55Z,2019-01-14T03:54:30Z
ehõ1_a8fa89b0-15ca-4fdd-ac22-2cbe425fae9d,ehõ,stem,ehõ,"{'89b3b010-5833-4aa0-86cb-ff2294313459': {'type': '_component-lexeme', 'variant-type': 'Não indicativo'}}",,{'bibliography': 'SIL 2011'},,2018-03-08T07:17:53Z,2018-06-20T01:46:10Z
ehõ2_e8d832f6-e4fc-46b0-89fb-c0b872c4030e,ehõ,stem,ehõ,,,{'bibliography': 'SIL 2011'},['bf184f6a-a427-4cf4-832a-1021b02ff1d0'],2018-03-08T07:17:53Z,2018-06-20T01:46:10Z
